sector,area,price,feature,price_per_sqm,coordinates,latitude,longitude
sector 41,301,6.5,Standard,0.02159468438538206,"28.4557° N, 77.0632° E",28.4557,77.0632
sector 66,301,9.0,Premium,0.029900332225913623,"28.3925° N, 77.0541° E",28.3925,77.0541
sector 2,301,5.21,Standard,0.017308970099667774,"28.5095° N, 77.0320° E",28.5095,77.032
sector 39,301,4.6,Premium,0.015282392026578072,"28.4434° N, 77.0515° E",28.4434,77.0515
sector 50,301,11.25,Premium,0.03737541528239203,"28.4178° N, 77.0628° E",28.4178,77.0628
sector 54,301,10.49,Basic,0.03485049833887043,"28.4348° N, 77.1089° E",28.4348,77.1089
sector 49,301,5.94,Premium,0.01973421926910299,"28.4121° N, 77.0480° E",28.4121,77.048
sector 108,301,3.6,Premium,0.011960132890365448,"28.5134° N, 76.9830° E",28.5134,76.983
sector 45,301,9.0,Standard,0.029900332225913623,"28.4466° N, 77.0660° E",28.4466,77.066
sector 41,301,7.96,Standard,0.026445182724252492,"28.4557° N, 77.0632° E",28.4557,77.0632
sector 41,301,8.46,Premium,0.028106312292358805,"28.4557° N, 77.0632° E",28.4557,77.0632
sector 28,301,11.03,Standard,0.03664451827242525,"28.4728° N, 77.0865° E",28.4728,77.0865
sector 60,301,6.15,Premium,0.020431893687707644,"28.4003° N, 77.0975° E",28.4003,77.0975
sector 28,301,12.0,Premium,0.03986710963455149,"28.4728° N, 77.0865° E",28.4728,77.0865
sector 47,301,7.38,Basic,0.02451827242524917,"28.4276° N, 77.0492° E",28.4276,77.0492
sector 28,301,11.2,Basic,0.037209302325581395,"28.4728° N, 77.0865° E",28.4728,77.0865
sector 45,301,8.25,Premium,0.027408637873754152,"28.4466° N, 77.0660° E",28.4466,77.066
sector 83,301,3.78,Premium,0.01255813953488372,"28.3986° N, 76.9647° E",28.3986,76.9647
sector 108,301,4.14,Standard,0.013754152823920264,"28.5134° N, 76.9830° E",28.5134,76.983
sector 41,301,9.0,Standard,0.029900332225913623,"28.4557° N, 77.0632° E",28.4557,77.0632
sector 50,301,5.0,Premium,0.016611295681063124,"28.4178° N, 77.0628° E",28.4178,77.0628
sector 2,302,5.25,Standard,0.0173841059602649,"28.5095° N, 77.0320° E",28.5095,77.032
