property_type,sector,price,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price_per_sqft,coordinates,latitude,longitude
house,sector 25,7.6,2.0,9.0,3,Relatively New,1961.0,0.0,1.0,1.0,Medium,Mid Floor,0.0038755736868944413,"28.4844° N, 77.0860° E",28.4844,77.086
flat,sector 95,0.32,2.0,2.0,1,Relatively New,610.0,0.0,0.0,1.0,Medium,Mid Floor,0.0005245901639344263,"28.4172° N, 76.9081° E",28.4172,76.9081
flat,sector 102,0.45,1.0,1.0,2,Relatively New,750.0,0.0,0.0,0.0,Low,Mid Floor,0.0006000000000000001,"28.4750° N, 76.9715° E",28.475,76.9715
house,sector 56,2.99,4.0,4.0,2,Moderately Old,1449.0,1.0,0.0,1.0,Low,Low Floor,0.0020634920634920637,"28.4245° N, 77.0991° E",28.4245,77.0991
flat,sector 109,1.5,3.0,4.0,3+,Relatively New,1797.0,1.0,0.0,0.0,Low,Mid Floor,0.0008347245409015025,"28.5073° N, 77.0089° E",28.5073,77.0089
house,sector 41,2.65,3.0,3.0,3,New Property,1400.0,1.0,0.0,1.0,Low,Mid Floor,0.0018928571428571427,"28.4557° N, 77.0632° E",28.4557,77.0632
house,sector 3,1.5,7.0,2.0,0,Moderately Old,1980.0,0.0,0.0,0.0,Low,Low Floor,0.0007575757575757576,"28.4909° N, 77.0176° E",28.4909,77.0176
flat,sector 86,1.5,3.0,3.0,1,Relatively New,1719.0,0.0,0.0,0.0,Low,High Floor,0.0008726003490401396,"28.3986° N, 76.9384° E",28.3986,76.9384
flat,sector 48,9.3,4.0,4.0,3+,Moderately Old,3831.0,1.0,1.0,1.0,Medium,Mid Floor,0.0024275646045418954,"28.4177° N, 77.0359° E",28.4177,77.0359
flat,sector 83,1.19,2.0,2.0,3,Relatively New,1630.0,0.0,0.0,0.0,Low,Mid Floor,0.0007300613496932515,"28.3986° N, 76.9647° E",28.3986,76.9647
flat,sector 107,0.5,3.0,2.0,2,Relatively New,850.0,0.0,0.0,0.0,Low,Mid Floor,0.000588235294117647,"28.5052° N, 76.9729° E",28.5052,76.9729
flat,sector 104,1.4,3.0,2.0,2,Under Construction,1120.0,0.0,0.0,0.0,Low,Mid Floor,0.00125,"28.4788° N, 76.9960° E",28.4788,76.996
flat,sector 88a,1.0,2.0,2.0,3,Relatively New,1611.0,0.0,0.0,0.0,Medium,Mid Floor,0.0006207324643078833,"28.4347° N, 76.9557° E",28.4347,76.9557
flat,sector 85,0.9,3.0,3.0,2,Relatively New,1402.0,0.0,0.0,0.0,Medium,High Floor,0.0006419400855920115,"28.4042° N, 76.9513° E",28.4042,76.9513
house,sector 105,0.5,2.0,2.0,0,Moderately Old,100.0,0.0,0.0,0.0,Low,Low Floor,0.005,"28.4952° N, 77.0114° E",28.4952,77.0114
flat,sector 83,1.15,3.0,3.0,2,Relatively New,1350.0,1.0,1.0,1.0,High,Mid Floor,0.0008518518518518518,"28.3986° N, 76.9647° E",28.3986,76.9647
flat,sector 69,1.36,3.0,3.0,2,Relatively New,1428.0,0.0,0.0,1.0,Low,High Floor,0.0009523809523809525,"28.3966° N, 77.0341° E",28.3966,77.0341
flat,sector 102,1.4,2.0,2.0,3,Relatively New,1286.0,0.0,0.0,0.0,Medium,Low Floor,0.0010886469673405908,"28.4750° N, 76.9715° E",28.475,76.9715
house,sector 55,2.8,4.0,4.0,0,Old Property,1500.0,0.0,0.0,0.0,Low,Low Floor,0.0018666666666666666,"28.4281° N, 77.1100° E",28.4281,77.11
house,sector 50,10.45,5.0,7.0,3+,Moderately Old,3240.0,1.0,0.0,1.0,High,Mid Floor,0.0032253086419753085,"28.4178° N, 77.0628° E",28.4178,77.0628
flat,sector 84,0.34,2.0,2.0,1,Relatively New,537.0,0.0,1.0,1.0,Medium,Low Floor,0.000633147113594041,"28.3979° N, 76.9736° E",28.3979,76.9736
flat,sector 84,0.39,2.0,2.0,0,Relatively New,549.0,0.0,0.0,0.0,Low,Mid Floor,0.0007103825136612022,"28.3979° N, 76.9736° E",28.3979,76.9736
house,sector 4,1.1,3.0,4.0,1,Moderately Old,990.0,0.0,0.0,0.0,Low,Low Floor,0.0011111111111111111,"28.4738° N, 77.0107° E",28.4738,77.0107
flat,sector 91,1.75,4.0,3.0,3+,Relatively New,2107.0,1.0,1.0,0.0,Medium,Mid Floor,0.0008305647840531562,"28.4014° N, 76.9225° E",28.4014,76.9225
flat,sector 49,2.1,3.0,3.0,3,Moderately Old,1604.25,0.0,0.0,1.0,Medium,Mid Floor,0.0013090229079008883,"28.4121° N, 77.0480° E",28.4121,77.048
flat,sector 48,3.65,3.0,3.0,3+,Relatively New,2395.0,0.0,0.0,1.0,High,Mid Floor,0.001524008350730689,"28.4177° N, 77.0359° E",28.4177,77.0359
flat,sector 69,1.29,3.0,3.0,1,Relatively New,1419.0,0.0,0.0,1.0,Medium,High Floor,0.0009090909090909091,"28.3966° N, 77.0341° E",28.3966,77.0341
house,sector 76,0.75,2.0,2.0,2,New Property,745.0,0.0,0.0,0.0,Low,High Floor,0.0010067114093959733,"28.3935° N, 76.9888° E",28.3935,76.9888
flat,sector 82a,1.85,3.0,3.0,3+,Relatively New,1668.0,0.0,0.0,1.0,Low,Low Floor,0.0011091127098321342,"28.3858° N, 76.9686° E",28.3858,76.9686
flat,sector 78,0.7,2.0,2.0,2,Moderately Old,1224.0,0.0,0.0,0.0,Low,Mid Floor,0.0005718954248366012,"28.3733° N, 76.9729° E",28.3733,76.9729
flat,sector 95,0.32,2.0,2.0,1,Relatively New,610.0,0.0,0.0,1.0,Medium,Mid Floor,0.0005245901639344263,"28.4172° N, 76.9081° E",28.4172,76.9081
flat,manesar,0.85,3.0,3.0,2,Moderately Old,2556.0,0.0,0.0,0.0,Low,Low Floor,0.0003325508607198748,"28.3515° N, 76.9428° E",28.3515,76.9428
flat,sector 93,1.25,4.0,4.0,3,Relatively New,2105.0,0.0,0.0,0.0,Low,High Floor,0.0005938242280285036,"28.4153° N, 76.9326° E",28.4153,76.9326
flat,sector 7,0.54,2.0,2.0,1,Relatively New,1000.0,0.0,0.0,0.0,Medium,Mid Floor,0.00054,"28.4644° N, 77.0143° E",28.4644,77.0143
flat,sector 71,0.79,2.0,2.0,2,Relatively New,1084.0,0.0,0.0,0.0,Low,Mid Floor,0.0007287822878228782,"28.4104° N, 77.0281° E",28.4104,77.0281
house,sector 25,10.0,5.0,5.0,3+,Moderately Old,9500.0,1.0,0.0,2.0,Low,Mid Floor,0.0010526315789473684,"28.4844° N, 77.0860° E",28.4844,77.086
flat,sector 56,1.71,3.0,3.0,3+,Moderately Old,2251.0,1.0,0.0,1.0,Medium,Mid Floor,0.0007596623722789871,"28.4245° N, 77.0991° E",28.4245,77.0991
flat,sector 110,1.4,3.0,3.0,3,Relatively New,1550.0,0.0,0.0,1.0,Medium,Mid Floor,0.0009032258064516129,"28.5145° N, 77.0197° E",28.5145,77.0197
flat,sector 67,3.65,3.0,4.0,3+,Relatively New,2490.0,1.0,0.0,1.0,Medium,High Floor,0.001465863453815261,"28.3859° N, 77.0608° E",28.3859,77.0608
flat,sector 107,0.6,3.0,2.0,2,Relatively New,750.0,0.0,0.0,0.0,Medium,Mid Floor,0.0007999999999999999,"28.5052° N, 76.9729° E",28.5052,76.9729
